codigo;descricao;unidade
7001;Notebook Dell Latitude 1,4 kg com tela 14 polegadas;UN
7002;Cadeira estofada giratória de escritório em polipropileno;UN
7003;Camiseta masculina malha 100% algodão;UN
7004;Cerveja pilsen lata 350 ml;UN
7005;Copo descartável plástico 200 ml;CX
7006;Kit brinde variedade linha casa;UN
7007;Pneu radial 175/70 R14 para automóvel de passageiros;UN
7008;Suplemento whey protein pó 900 g;UN
7009;Luva nitrílica hospitalar descartável;CX
7010;Ar condicionado split hi wall 12000 btus;UN
