Campo / Tag XML,Descrição do Código,Tipo,Tamanho (Nº Caracteres),Exemplo de Preenchimento / Valor,Fonte
NF-e (Modelo 55),Nota Fiscal Eletrônica,Documento Fiscal Eletrônico,2,55,1
NFC-e (Modelo 65),Nota Fiscal de Consumidor Eletrônica,Documento Fiscal Eletrônico,2,65,1
CT-e (Modelo 57),Conhecimento de Transporte Eletrônico,Documento Fiscal Eletrônico,2,57,1
MDF-e (Modelo 58),Manifesto Eletrônico de Documentos Fiscais,Documento Fiscal Eletrônico,2,58,1
NFAg (Modelo 75),Nota Fiscal de Água e Saneamento Eletrônica,Documento Fiscal Eletrônico,2,75,1
NF-e ABI (Modelo 77),Nota Fiscal Eletrônica de Alienação de Bens Imóveis,Documento Fiscal Eletrônico,2,77,1
NCM/SH,Nomenclatura Comum do Mercosul,Alfanumérico,8,9619.00.00,1
vIBS,Valor do Imposto sobre Bens e Serviços (IBS) incidente na operação.,Numérico (moeda),"15,2",1234.56,2
vCBS,Valor da Contribuição sobre Bens e Serviços (CBS) incidente na operação.,Numérico (moeda),"15,2",987.65,2
pIBS,Alíquota do IBS (estadual + municipal) aplicada sobre a base de cálculo.,Numérico (percentual),"3,4",17.7,2
pCBS,Alíquota da CBS aplicada sobre a base de cálculo.,Numérico (percentual),"3,4",8.8,2
vBC,"Base de Cálculo do IBS e da CBS, correspondente ao valor da operação.",Numérico (moeda),"15,2",5000.00,2
mod,"Modelo do Documento Fiscal Eletrônico (55 para NF-e, 65 para NFC-e).",Numérico,2,55,"user description, 60"
vCredPresumido,Valor do crédito presumido calculado em operações específicas (ex: produtor rural).,Numérico (moeda),"15,2",150.00,2
tpSplit,Indicador de utilização do mecanismo de split payment na liquidação financeira.,Numérico,1,1 (Sim),2
NCM,Código da Nomenclatura Comum do Mercosul / Sistema Harmonizado utilizado para classificação fiscal de bens materiais.,Numérico,8,8411.11.00,3
NBS,"Nomenclatura Brasileira de Serviços, Intangíveis e Outras Operações que Produzam Variações no Patrimônio.",Alfanumérico,9,1.0301.31.00,3
CNPJ,Cadastro Nacional da Pessoa Jurídica; identificação única obrigatória para contribuintes e responsáveis da CBS e IBS.,Numérico,14,00000000000191,3
chAcesso,Chave de acesso que identifica o documento fiscal eletrônico de maneira única.,Numérico,44,35190800000000000000550010000000011234567890,3
vCBS,Valor da Contribuição Social sobre Bens e Serviços (CBS) destacada no documento fiscal.,Numérico (Decimal),Até 15 (com 2 decimais),100.50,3
vIBS,Valor do Imposto sobre Bens e Serviços (IBS) destacado no documento fiscal.,Numérico (Decimal),Até 15 (com 2 decimais),85.20,3
cbenef,"Código de benefício fiscal ou regime diferenciado aplicado à operação (ex: alíquota zero, suspensão, redução).",Alfanumérico,Não especificado na fonte,CBS_ALQ_ZERO,3
tpEmis,Tipo de emissão do documento fiscal (Normal ou Contingência).,"Numérico (1-Normal, 9-Contingência)",1,9,3
CIB,Código de inscrição no Cadastro Imobiliário Brasileiro para identificação de bens imóveis urbanos e rurais.,Alfanumérico,Não especificado na fonte,A1B2C3D4,3
CPF,Cadastro de Pessoas Físicas; identificação de adquirentes não contribuintes ou motoristas profissionais.,Numérico,11,00000000000,3
IBS,Imposto sobre Bens e Serviços - Novo imposto de competência subnacional (Estados e Municípios).,Numérico / Alíquota,Variável,0.01 (1%),4
CBS,Contribuição Social sobre Bens e Serviços - Nova contribuição federal comum ao IBS.,Numérico / Alíquota,Variável,0.05 (5%),4
Split Payment,Mecanismo de recolhimento do IBS/CBS na liquidação financeira da operação.,Booleano / Indicador,1,1 (Sim),4
NCM/SH,Nomenclatura Comum do Mercosul para classificação de mercadorias.,Alfanumérico,8,3004.90.99,4
NBS,Nomenclatura Brasileira de Serviços para classificação de serviços.,Alfanumérico,9,1.01.01,4
IS,Imposto Seletivo - Tributo sobre bens e serviços prejudiciais à saúde ou meio ambiente.,Numérico / Alíquota,Variável,"0.0025 (0,25%)",4
NCM,Código da Nomenclatura Comum do Mercosul para identificação de produtos,Numérico,8,01012100,5
uTrib,Unidade de medida tributável utilizada em operações de exportação,Alfanumérico,Até 6,KG,5
uTrib (Descrição),Descrição por extenso da unidade de medida tributável,Texto,Varia,Quilograma,5
inicioVigencia,Data de início da vigência da classificação NCM,Data (DD/MM/AAAA),10,01/01/2016,5
fimVigencia,Data de fim da vigência da classificação NCM,Data (DD/MM/AAAA),10,01/02/2026,5
uTrib (UN),Unidade de medida tributável: Unidade,Alfanumérico,2,UN,5
uTrib (KG),Unidade de medida tributável: Quilograma,Alfanumérico,2,KG,5
uTrib (TON),Unidade de medida tributável: Tonelada Métrica Líquida,Alfanumérico,3,TON,5
uTrib (LT),Unidade de medida tributável: Litro,Alfanumérico,2,LT,5
uTrib (M2),Unidade de medida tributável: Metro Quadrado,Alfanumérico,2,M2,5
uTrib (M3),Unidade de medida tributável: Metro Cúbico,Alfanumérico,2,M3,5
uTrib (MWHORA),Unidade de medida tributável: Megawatt Hora,Alfanumérico,6,MWHORA,5
uTrib (PARES),Unidade de medida tributável: Pares,Alfanumérico,5,PARES,5
uTrib (QUILAT),Unidade de medida tributável: Quilate,Alfanumérico,6,QUILAT,5
cClassTrib,Situações tributadas integralmente pelo IBS e CBS.,Numérico,6,000001,6
